,Unnamed: 0,Unnamed: 0.1,type,link,pair,PRODUCT NUMBER,ALCOHOL,SUGAR,ACIDS,ENERGY,PRICE / LITRE,MORE INFORMATION,ADDITIONAL INFORMATION,INGREDIENTS DECLARED BY THE PRODUCER,PACKAGING,CLOSURE,PRODUCER,SUPPLIER,SELECTION,text,topNotch,tips,features,region,variety,acid,bodied,dry,sweet,tannic,floral,citrus fruit,stone fruit,tropical fruit,red fruit,black fruit,honey,herbal,bitter,mineral,creamy,spice,earthy,baking spice,leather,astringent,apple/pear,melon,buttery,pastry,nut,chemical/medicinal,wood,smoky,fish_food,desserts_food,fruit_food,vegetables_food,sweet_food,salty_food,sour_food,bitter_food,beef_food,poultry_food,game_food,pork_food,dairy_food,fatty_food,lamb_food,nutty_food,box,desert,red,rose,sparkling,white,name,year,country,wine_region,wine_subregion,quality
2408,2408,2408,red,"https://www.alko.fi/en/products/005656/Castillo-Murviedro-Tempranillo-2019/ 
",grilled food,5656,12.5,3.0,4.4,70.0,10.91 EUR,,,Contains sulphites,bottle,metal screw cap,Bodegas Murviedro,Hedon,general selection,"Red wines are best served slightly below room temperature, at 16–18°C. Chilling a bottle from room temperature to the perfect serving temperature takes about half an hour in a fridge.","Wines with rich flavours and aromas are a good choice when serving meat dishes.
Try with BBQ-marinated pork ribs, beef and vegetable skewers or T bone steaks.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Medium-bodied, medium tannic, cherry notes, ripe cranberry notes, spicy 
","['DO Utiel-Requena', 'Spain', 'Utiel-Requena']","['Tempranillo', 'Bobal']",0,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,Castillo-Murviedro-Tempranillo-2019,2019,Spain,,,18.0
2412,2412,2412,red,"https://www.alko.fi/en/products/908458/Nederburg-Duet-2018/ 
",grilled food,908458,14.0,8.0,5.6,80.0,11.85 EUR,,,Contains sulphites,bottle,metal screw cap,Nederburg,Wennerco,sale-to-order selection,"Red wines are best served slightly below room temperature, at 16–18°C. Chilling a bottle from room temperature to the perfect serving temperature takes about half an hour in a fridge.","Wines with rich flavours and aromas are a good choice when serving meat dishes.
Try with BBQ-marinated pork ribs, beef and vegetable skewers or T bone steaks.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Medium-bodied, tannic, cherry notes, berry notes, oak notes 
","['WO Western Cape', 'South Africa', 'Others']","['Pinotage', 'Shiraz']",0,2,0,0,4,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,Nederburg-Duet-2018,2018,South Africa,Western Cape,,18.0
13233,13233,13233,rose,"https://www.alko.fi/en/products/438237/Yali-Flores-Summer-Syrah-Ros-2020/ 
",grilled food,438237,12.5,4.0,5.5,70.0,13.2 EUR,,,Contains sulphites,bottle,metal screw cap,Viña Ventisquero,Hartwall,general selection,"Serve dry and medium-dry rosés chilled, at 10–12°C, and medium-sweet and sweet rosés well-chilled, at 8–10°C. Chilling a bottle from room temperature to the perfect serving temperature takes about three hours in a fridge.","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish.
You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Dry, acidic, redcurrant notes, raspberry notes, cherry notes, herbal notes 
","['Colchagua Valley', 'Chile']",['Syrah'],3,0,3,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,Yali-Flores-Summer-Syrah-Ros-2020,2020,Chile,,,17.5
13241,13241,13241,rose,"https://www.alko.fi/en/products/422047/Josef-Philipp-Br-ndlmayer-Zweigelt-Ros-2019/ 
",grilled food,422047,12.0,-1.0,5.9,70.0,18.51 EUR,,,Contains sulphites,bottle,metal screw cap,Josef Bründlmayer,Dieter Ettl,general selection,"Serve dry and medium-dry rosés chilled, at 10–12°C, and medium-sweet and sweet rosés well-chilled, at 8–10°C. Chilling a bottle from room temperature to the perfect serving temperature takes about three hours in a fridge.","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish.
You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Dry, acidic, lemon notes, raspberry notes, light redcurrant notes, minerally 
","['Qualitätswein Niederösterreich', 'Austria']",['Zweigelt'],3,0,3,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,Josef-Philipp-Br-ndlmayer-Zweigelt-Ros-2019,2019,Austria,Niederösterreich,,18.0
14854,14854,14854,sparkling,"https://www.alko.fi/en/products/540904/Drappier-Ros-de-Saign-e-Champagne-Brut/ 
",grilled food,540904,12.0,5.0,5.4,70.0,62.35 EUR,,,Contains sulphites,bottle,natural cork,Drappier,Cisa Drinks,general selection,"Sparkling wines made using the traditional method are served well-chilled, at 8–12°C. Fresh, crisp sparkling wines are served slightly cooler, at 6–8°C. A sparkling wine stopper will keep the bubbles in the bottle for several days, as long as the bottle is stored in the fridge. The fuller the bottle, the longer the bubbles will last. Using a gel cooler stored in the freezer, you can chill a bottle from room temperature to the perfect serving temperature in about 20 minutes. In a large cooler or bucket filled with ice cubes and water, you can chill a bottle in 15 minutes.","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Brut, acidic, raspberry notes, cherry notes, apricot jam notes, minerally, rich, full-bodied 
","['Champagne', 'France', 'AC Champagne']",['Pinot Noir'],3,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,Drappier-Ros-de-Saign-e-Champagne-Brut,0,France,Champagne,,18.0
15117,15117,15117,sparkling,"https://www.alko.fi/en/products/529077/Yellowglen-Pink-Dry/ 
",grilled food,529077,11.0,25.0,6.0,70.0,14.52 EUR,,,Contains sulphites,bottle,natural cork,Yellowglen Vineyards,Wennerco,general selection,"Sparkling wines made using the traditional method are served well-chilled, at 8–12°C. Fresh, crisp sparkling wines are served slightly cooler, at 6–8°C. A sparkling wine stopper will keep the bubbles in the bottle for several days, as long as the bottle is stored in the fridge. The fuller the bottle, the longer the bubbles will last. Using a gel cooler stored in the freezer, you can chill a bottle from room temperature to the perfect serving temperature in about 20 minutes. In a large cooler or bucket filled with ice cubes and water, you can chill a bottle in 15 minutes.","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Medium dry, medium acidic, wild strawberry notes, light citrus notes, slightly flowery 
",['Australia'],"['Pinot Noir', 'Chardonnay', 'Shiraz']",2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,Yellowglen-Pink-Dry,0,Australia,,,14.0
18908,18908,18908,white,"https://www.alko.fi/en/products/908801/Clos-Lentiscus-Cric-Cric-2018/ 
",grilled food,908801,11.0,1.0,5.5,60.0,36.94 EUR,,May contain sediment,Contains sulphites,bottle,natural cork,Clos Lentiscus,Let me wine Oy,sale-to-order selection,"White wines are best served chilled, at 10–12°C. Chilling a bottle from room temperature to the perfect serving temperature takes about two hours in a fridge. The sweeter the wine, the cooler it can be served.","Nuanced flavours combined with robust acidity make these wines an excellent match for fish and seafood dishes as well as slightly stronger flavours.
Try with Finnish crayfish, clam dishes or blinis.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Dry, acidic, lime notes, green apple notes, honey melon notes 
","['Catalonia', 'Spain']",['Xarel-lo'],3,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,Clos-Lentiscus-Cric-Cric-2018,2018,Spain,Catalonia,,17.0
18916,18916,18916,white,"https://www.alko.fi/en/products/535107/Reyneke-Organic-Stellenbosch-Chenin-Blanc-2019/ 
",grilled food,535107,12.0,2.0,4.9,70.0,38.83 EUR,,May contain sediment,Contains sulphites,bottle,natural cork,Reyneke Wines,Hedon,limited quantity product,"White wines are best served chilled, at 10–12°C. Chilling a bottle from room temperature to the perfect serving temperature takes about two hours in a fridge.","The rich, full-bodied character is combined with toasted notes or oakiness, and the wines are a great match not only for oily fish but also for chicken, turkey and even game bird and pork dishes.
Try with flamed salmon, smoked duck or creamy mushroom soup.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Dry, acidic, yellow plum notes, citrus notes, light green apple notes, minerally, toasted, roasted, good body, well-balanced 
","['WO Stellenbosch', 'South Africa', 'Others']",['Chenin Blanc'],3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,Reyneke-Organic-Stellenbosch-Chenin-Blanc-2019,2019,South Africa,,,18.666666666666668
1541,1541,1541,desert,"https://www.alko.fi/en/products/635347/Apothic-Brew/ 
",grilled food,635347,13.5,11.0,4.4,80.0,19.84 EUR,,,Contains sulphites,bottle,natural cork,Apothic Wines,Beverage Partners Finland,general selection,"Serve these wines well-chilled, at 8–10°C. Chilling a bottle from room temperature to the perfect serving temperature takes about three hours in a fridge. Especially aromatised wines, as well as wines containing berries or fruit pulp, should be served well-chilled. If they are too warm, they can foam out of the bottle once opened.","Sparkling fruit wines, fruit wines and aromatised wines are perfect for socialising, as aperitifs or in mixed drinks and punches.
Try them in cocktails or punches, and choose the berry or fruit that you like the most. You can adjust the alcohol content by adding spirits, liquor, sparkling water, tonic or juice. Decorate with the season’s berries, fruits and herbs.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Full-bodied, medium tannic, plum notes, blackberry notes, rich mocha notes, oak notes, robust, strong, heavy, sweetish 
",['United States'],"['Shiraz', 'Teroldego', 'Petite Sirah', 'Zinfandel', 'Cabernet Sauvignon']",0,3,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Apothic-Brew,0,United States,,,16.333333333333332
2393,2393,2393,desert,"https://www.alko.fi/en/products/926946/Espiritu-de-Chile-Refreshing-Fruity-Red/ 
",grilled food,926946,5.5,35.0,4.3,40.0,10.41 EUR,,"Lower-alcohol wine (0,6-9,9%)",Contains sulphites,bottle,metal screw cap,Aresti Chile Wines,CISA Drinks,sale-to-order selection,"Serve these wines well-chilled, at 8–10°C. Chilling a bottle from room temperature to the perfect serving temperature takes about three hours in a fridge. Especially aromatised wines, as well as wines containing berries or fruit pulp, should be served well-chilled. If they are too warm, they can foam out of the bottle once opened.","Sparkling fruit wines, fruit wines and aromatised wines are perfect for socialising, as aperitifs or in mixed drinks and punches.
Try them in cocktails or punches, and choose the berry or fruit that you like the most. You can adjust the alcohol content by adding spirits, liquor, sparkling water, tonic or juice. Decorate with the season’s berries, fruits and herbs.","Any allergens possibly contained in the beverages are mentioned on the label. The manufacturer and importer of an alcoholic beverage are responsible for the quality and composition of an alcoholic beverage delivered for consumption, as well as for ensuring that the product and its labels and other product promotion are in accordance with the relevant provisions and regulations. Please note! The product image or vintage can differ from the distributed product.","Medium-bodied, low tannins, currant notes, raspberry notes, cranberry notes 
","['Chile', 'Others']",['Cabernet Sauvignon'],0,2,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Espiritu-de-Chile-Refreshing-Fruity-Red,0,Chile,,,17.0
